Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
完	完	wán	to finish	terminar	我写完作业了。	I've finished my homework.	Ya he terminado los deberes.			事情结束，没有剩余	an event ends, nothing remains	un asunto termina, no queda nada
万	萬	wàn	ten thousand	diez mil	这本书卖了一万本。	This book has sold ten thousand copies.	Este libro ha vendido diez mil ejemplares.			数字，十个一千	the number, ten times one thousand	el número, diez veces mil
往	往	wǎng	toward	hacia	请往前走。	Please walk forward.	Camina hacia adelante, por favor.			表示朝着某个方向	indicates moving toward a direction	indica moverse hacia una dirección
网上	網上	wǎngshang	online	en internet	我喜欢在网上买东西。	I like shopping online.	Me gusta comprar cosas por internet.			互联网上	on the internet	en internet
忘	忘	wàng	to forget	olvidar	我忘了他的名字。	I forgot his name.	Se me olvidó su nombre.			不记得，从记忆中消失	to not remember, to fade from memory	no recordar, desaparecer de la memoria
位	位	wèi	measure word for people	(clasificador de personas)	那位老师很好。	That teacher is very good.	Ese profesor es muy bueno.			用于对人的尊称量词	a respectful measure word for people	clasificador respetuoso para personas
为什么	為什麼	wèi shénme	why	por qué	你为什么迟到了？	Why are you late?	¿Por qué llegas tarde?			用于询问原因	used to ask for a reason	se usa para preguntar la razón
希望	希望	xīwàng	to hope	esperar (desear)	我希望你能来。	I hope you can come.	Espero que puedas venir.	想 (xiǎng) - to want	想 (xiǎng) - querer	心里想着达成某种愿望	to wish in one's heart for something to come true	desear en el corazón que algo se cumpla
洗	洗	xǐ	to wash	lavar	我每天洗澡。	I take a bath/shower every day.	Me baño todos los días.			用水去掉污渍	to remove dirt using water	quitar la suciedad con agua
洗手间	洗手間	xǐshǒujiān	restroom	baño	洗手间在哪儿？	Where is the restroom?	¿Dónde está el baño?			供人洗手、上厕所的房间	a room for washing hands and using the toilet	habitación para lavarse las manos y usar el baño
下来	下來	xiàlái	to come down	bajar	请你下来一下。	Please come down for a moment.	Baja un momento, por favor.			从高处到低处，向说话人靠近	to move from a higher to a lower place, toward the speaker	moverse de un lugar más alto a uno más bajo, acercándose al hablante
下面	下面	xiàmiàn	below	debajo	猫在桌子下面。	The cat is under the table.	El gato está debajo de la mesa.			位置较低的地方	a lower location	un lugar de posición más baja
下去	下去	xiàqù	to go down	bajar	我们走下去吧。	Let's walk down.	Bajemos caminando.			从高处到低处，离开说话人	to move from a higher to a lower place, away from the speaker	moverse de un lugar más alto a uno más bajo, alejándose del hablante
小孩儿	小孩兒	xiǎoháir	child	niño	那个小孩儿在哭。	That child is crying.	Ese niño está llorando.			年纪小的孩子	a young child	un niño de corta edad
小时候	小時候	xiǎoshíhou	childhood	infancia	小时候我住在乡下。	In my childhood, I lived in the countryside.	De pequeño, vivía en el campo.			幼年时期	the period of early childhood	el periodo de la primera infancia
笑	笑	xiào	to laugh, to smile	reír, sonreír	她一直在笑。	She keeps laughing.	Ella no para de reír.			因高兴而露出愉快的表情	to show a happy expression out of joy	mostrar una expresión alegre por felicidad
姓	姓	xìng	surname	apellido	他姓王。	His surname is Wang.	Su apellido es Wang.			表明家族血统的字	a character indicating family lineage	carácter que indica el linaje familiar
姓名	姓名	xìngmíng	full name	nombre completo	请写下你的姓名。	Please write down your full name.	Por favor, escribe tu nombre completo.			姓和名的合称	the combination of surname and given name	la combinación del apellido y el nombre
颜色	顏色	yánsè	color	color	你喜欢什么颜色？	What color do you like?	¿Qué color te gusta?			物体反射光线呈现的样子	the appearance an object presents by reflecting light	el aspecto que presenta un objeto al reflejar la luz
眼睛	眼睛	yǎnjing	eye	ojo	她的眼睛很漂亮。	Her eyes are very beautiful.	Sus ojos son muy bonitos.			用来看东西的器官	the organ used for seeing	el órgano que se usa para ver
药	藥	yào	medicine	medicina	他每天要吃药。	He has to take medicine every day.	Tiene que tomar medicina todos los días.			用于治病的物质	a substance used to treat illness	sustancia usada para tratar enfermedades
药店	藥店	yàodiàn	pharmacy	farmacia	药店就在医院旁边。	The pharmacy is right next to the hospital.	La farmacia está justo al lado del hospital.			卖药的商店	a store that sells medicine	tienda que vende medicinas
爷爷	爺爺	yéye	grandfather	abuelo	我爷爷喜欢喝茶。	My grandfather likes to drink tea.	A mi abuelo le gusta tomar té.			父亲的父亲	one's father's father	el padre del padre
一会儿	一會兒	yíhuìr	a while	un momento	请等一会儿。	Please wait a moment.	Espera un momento, por favor.			短时间	a short period of time	un periodo corto de tiempo
已经	已經	yǐjīng	already	ya	他已经走了。	He has already left.	Ya se ha ido.			表示动作完成	indicates an action is completed	indica que una acción está completada
一起	一起	yìqǐ	together	juntos	我们一起去吃饭吧。	Let's go eat together.	Vamos a comer juntos.			在同一个地方或同时做某事	to be in the same place or do something at the same time	estar en el mismo lugar o hacer algo al mismo tiempo
意思	意思	yìsi	meaning	significado	这句话是什么意思？	What does this sentence mean?	¿Qué significa esta frase?			语言文字所表达的内容	the content expressed by language or text	el contenido que expresa el lenguaje o el texto
阴	陰	yīn	cloudy	nublado	今天天气很阴。	The weather is very cloudy today.	Hoy está muy nublado.			天空多云，没有阳光	a sky full of clouds, without sunlight	cielo nublado, sin luz solar
因为	因為	yīnwèi	because	porque	我没去，因为下雨了。	I didn't go because it rained.	No fui porque llovía.			表示原因	indicates a reason	indica una razón
游	游	yóu	to swim	nadar	鱼在水里游。	The fish swims in the water.	El pez nada en el agua.			在水中活动前进	to move forward through water	moverse hacia adelante a través del agua
游泳	游泳	yóuyǒng	to swim	nadar	我喜欢夏天游泳。	I like swimming in summer.	Me gusta nadar en verano.			在水中划水前进的运动	a sport of moving through water by paddling	deporte de avanzar en el agua mediante brazadas
有意思	有意思	yǒu yìsi	interesting	interesante	这本书很有意思。	This book is very interesting.	Este libro es muy interesante.			有趣味，能吸引人	interesting, able to attract attention	que tiene interés, capaz de atraer la atención
有时	有時	yǒushí	sometimes	a veces	我有时会迟到。	I am sometimes late.	A veces llego tarde.			有的时候，不是经常	at times, not often	a veces, no con frecuencia
右	右	yòu	right	derecha	请往右转。	Please turn right.	Gira a la derecha, por favor.			面向前方时靠东的一边	the side toward the east when facing forward	el lado hacia el este al mirar hacia adelante
右边	右邊	yòubian	right side	lado derecho	邮局在银行的右边。	The post office is to the right of the bank.	La oficina de correos está a la derecha del banco.			右面的位置	the position on the right	la posición a la derecha
鱼	魚	yú	fish	pez	河里有很多鱼。	There are many fish in the river.	Hay muchos peces en el río.			生活在水中的动物	an animal that lives in water	animal que vive en el agua
远	遠	yuǎn	far	lejos	我家离学校很远。	My home is far from school.	Mi casa está lejos de la escuela.			距离长	a long distance	distancia larga
运动	運動	yùndòng	to exercise, sports	hacer ejercicio, deporte	我每天都运动。	I exercise every day.	Hago ejercicio todos los días.			身体活动，锻炼身体	physical activity, exercising the body	actividad física, ejercitar el cuerpo
站	站	zhàn	station; to stand	estación; estar de pie	请站在这里。	Please stand here.	Ponte de pie aquí, por favor.			直立不动，或供停靠的地方	to stand upright without moving, or a stopping place	permanecer de pie sin moverse, o un lugar de parada
丈夫	丈夫	zhàngfu	husband	marido	她的丈夫是医生。	Her husband is a doctor.	Su marido es médico.			女子的配偶	a woman's spouse	la cónyuge de una mujer
这么	這麼	zhème	so, like this	tan, así	天气这么热，我们游泳吧。	The weather is so hot, let's go swimming.	Hace tanto calor que vamos a nadar.			表示程度深，或这样	indicates a high degree, or "like this"	indica un grado alto, o "de esta manera"
这样	這樣	zhèyàng	like this	así	你应该这样做。	You should do it like this.	Deberías hacerlo así.			这种样子	this kind of manner	esta clase de manera
着	著	zhe	(particle of ongoing action)	(partícula de acción continua)	他坐着看书。	He is sitting and reading a book.	Está sentado leyendo un libro.			用在动词后表示动作正在持续	used after a verb to indicate an action is ongoing	se usa tras un verbo para indicar que una acción está en curso
正	正	zhèng	just, exactly	justo, precisamente	我正在吃饭。	I am just eating right now.	Estoy comiendo ahora mismo.			表示动作正在进行	indicates an action is currently in progress	indica que una acción está en curso
周	週	zhōu	week	semana	这周我很忙。	I'm very busy this week.	Estoy muy ocupado esta semana.			七天为一个单位	a unit of seven days	una unidad de siete días
准备	準備	zhǔnbèi	to prepare	preparar(se)	我在准备考试。	I'm preparing for the exam.	Me estoy preparando para el examen.			提前做好安排	to make arrangements in advance	hacer preparativos con antelación
自己	自己	zìjǐ	oneself	uno mismo	这是我自己做的。	I made this myself.	Esto lo hice yo mismo.			指代本人	refers to oneself	se refiere a uno mismo
走	走	zǒu	to walk	andar	我们走着去吧。	Let's walk there.	Vamos caminando.			用脚一步一步前进	to move forward step by step using the feet	avanzar paso a paso usando los pies
走路	走路	zǒulù	to walk	caminar	他每天走路上班。	He walks to work every day.	Va caminando al trabajo todos los días.			步行	to go on foot	ir a pie
足球	足球	zúqiú	soccer	fútbol	他喜欢看足球比赛。	He likes watching soccer matches.	Le gusta ver partidos de fútbol.			一种用脚踢的球类运动	a ball sport played with the feet	un deporte de pelota que se juega con los pies
最	最	zuì	most	el más	他是班里最高的。	He is the tallest in the class.	Es el más alto de la clase.			表示程度达到极点	indicates a degree reaching the extreme	indica un grado que llega al extremo
左	左	zuǒ	left	izquierda	请往左转。	Please turn left.	Gira a la izquierda, por favor.			面向前方时靠西的一边	the side toward the west when facing forward	el lado hacia el oeste al mirar hacia adelante
左边	左邊	zuǒbian	left side	lado izquierdo	洗手间在左边。	The restroom is on the left.	El baño está a la izquierda.			位置的左面	the position on the left	la posición a la izquierda
