Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
那儿	那兒	nàr	there	allí	他住在那儿。	He lives there.	Él vive allí.	那里 (nà lǐ) - there	那里 (nà lǐ) - allí	指较远的地点，口语常用	A place farther away, colloquial	Un lugar más lejano, coloquial
那些	那些	nà xiē	those	esos/esas	那些人是我的同学。	Those people are my classmates.	Esas personas son mis compañeros de clase.			指较远的多个事物	Refers to several distant things	Señala varias cosas lejanas
男	男	nán	male	hombre / masculino	他是男的。	He is male.	Él es hombre.	女 (nǚ) - female（反义）	女 (nǚ) - mujer (antónimo)	性别为男性	Belonging to the male sex	Que pertenece al sexo masculino
男朋友	男朋友	nán péng you	boyfriend	novio	她的男朋友很高。	Her boyfriend is very tall.	Su novio es muy alto.			恋爱关系中的男性	The male partner in a relationship	La pareja masculina en una relación
呢	呢	ne	particle (question)	partícula (pregunta)	我很好，你呢？	I'm good, and you?	Yo estoy bien, ¿y tú?			用于疑问句，询问对方情况	Used in questions to ask about someone/something	Se usa en preguntas para preguntar por algo o alguien
能	能	néng	can; be able to	poder	我能帮你。	I can help you.	Puedo ayudarte.	会 (huì) - can	会 (huì) - saber/poder	表示有能力或可能性	Indicates ability or possibility	Indica capacidad o posibilidad
你	你	nǐ	you	tú	你叫什么名字？	What's your name?	¿Cómo te llamas?			称呼对方	Used to address the listener	Se usa para dirigirse al interlocutor
你好	你好	nǐ hǎo	hello	hola	你好，很高兴认识你。	Hello, nice to meet you.	Hola, encantado de conocerte.			见面时的问候语	A greeting used when meeting someone	Un saludo que se usa al conocer a alguien
你们	你們	nǐ men	you (plural)	vosotros/ustedes	你们是学生吗？	Are you (all) students?	¿Sois estudiantes?			称呼对方多人	Used to address multiple listeners	Se usa para dirigirse a varios interlocutores
年	年	nián	year	año	一年有十二个月。	A year has twelve months.	Un año tiene doce meses.			时间单位，十二个月	A unit of time equal to twelve months	Unidad de tiempo equivalente a doce meses
您	您	nín	you (polite)	usted	您好，请问怎么走？	Hello, excuse me, how do I get there?	Buenos días, ¿por dónde se va?	你 (nǐ) - you	你 (nǐ) - tú	对对方的尊称	"A polite form of ""you"""	"Forma respetuosa de decir ""tú"""
牛奶	牛奶	niú nǎi	milk	leche	我早上喝牛奶。	I drink milk in the morning.	Por la mañana bebo leche.			牛产的奶	Milk produced by cows	La leche producida por las vacas
女	女	nǚ	female	mujer / femenino	她是女的。	She is female.	Ella es mujer.	男 (nán) - male（反义）	男 (nán) - hombre (antónimo)	性别为女性	Belonging to the female sex	Que pertenece al sexo femenino
女儿	女兒	nǚ ér	daughter	hija	他有一个女儿。	He has a daughter.	Él tiene una hija.	女孩 (nǚ hái) - girl	女孩 (nǚ hái) - chica	女性子女	One's female child	La hija de alguien
女朋友	女朋友	nǚ péng you	girlfriend	novia	他的女朋友很漂亮。	His girlfriend is very pretty.	Su novia es muy guapa.			恋爱关系中的女性	The female partner in a relationship	La pareja femenina en una relación
女士	女士	nǚ shì	lady; Ms.	señora	这位女士是老师。	This lady is a teacher.	Esta señora es profesora.	小姐 (xiǎo jiě) - miss	小姐 (xiǎo jiě) - señorita	对女性的尊称	A polite term for a woman	Un tratamiento respetuoso para una mujer
朋友	朋友	péng you	friend	amigo/a	他是我的好朋友。	He is my good friend.	Él es mi buen amigo.	同学 (tóng xué) - classmate	同学 (tóng xué) - compañero de clase	关系亲近、互相信任的人	A close and trusted person	Una persona cercana y de confianza
便宜	便宜	pián yi	cheap	barato	这件衣服很便宜。	This piece of clothing is cheap.	Esta prenda es barata.	贵 (guì) - expensive（反义）	贵 (guì) - caro (antónimo)	价钱低	Low in price	De precio bajo
漂亮	漂亮	piào liang	pretty	guapo/a / bonito	她很漂亮。	She is very pretty.	Ella es muy guapa.	好看 (hǎo kàn) - good-looking	好看 (hǎo kàn) - bonito	外表好看	Good-looking in appearance	De aspecto atractivo
苹果	蘋果	píng guǒ	apple	manzana	我喜欢吃苹果。	I like eating apples.	Me gusta comer manzanas.			一种常见的水果	A common type of fruit	Un tipo de fruta muy común
七	七	qī	seven	siete	现在七点了。	It's seven o'clock.	Ya son las siete.			数字7	The number 7	El número 7
起床	起床	qǐ chuáng	to get up	levantarse	我每天七点起床。	I get up at seven every day.	Me levanto todos los días a las siete.			睡醒后离开床	To get out of bed after waking up	Salir de la cama al despertarse
千	千	qiān	thousand	mil	这本书一千块。	This book costs a thousand yuan.	Este libro cuesta mil yuanes.			数字1000	The number 1000	El número 1000
前	前	qián	in front; before	delante / antes	她在我前面。	She is in front of me.	Ella está delante de mí.	以前 (yǐ qián) - before	以前 (yǐ qián) - antes	方位或时间靠前	A position ahead, or an earlier time	Una posición delantera, o un momento anterior
钱	錢	qián	money	dinero	你有多少钱？	How much money do you have?	¿Cuánto dinero tienes?			用于买卖交换的东西	The medium used for buying and selling	Lo que se usa para comprar y vender
请	請	qǐng	please	por favor	请坐。	Please sit down.	Siéntese, por favor.			用于礼貌地请求	Used to make a polite request	Se usa para hacer una petición cortés
请问	請問	qǐng wèn	excuse me	disculpe (para preguntar)	请问，洗手间在哪里？	Excuse me, where is the restroom?	Disculpe, ¿dónde está el baño?			礼貌地询问对方	A polite way to ask a question	Manera cortés de hacer una pregunta
去	去	qù	to go	ir	我们去公园吧。	Let's go to the park.	Vamos al parque.			从这里到另一个地方	To move from here to another place	Moverse de aquí a otro lugar
去年	去年	qù nián	last year	el año pasado	去年我在中国。	Last year I was in China.	El año pasado estuve en China.			今年的上一年	The year before this one	El año anterior a este
热	熱	rè	hot	caliente / calor	今天很热。	It's hot today.	Hoy hace calor.	冷 (lěng) - cold（反义）	冷 (lěng) - frío (antónimo)	温度高	High in temperature	De temperatura alta
人	人	rén	person	persona	这里有很多人。	There are many people here.	Aquí hay mucha gente.			能制造工具并使用语言的动物	A being capable of tool use and language	Un ser capaz de usar herramientas y lenguaje
认识	認識	rèn shi	to know (someone)	conocer (a alguien)	我认识他。	I know him.	Lo conozco.	知道 (zhī dào) - to know	知道 (zhī dào) - saber	了解或熟悉某人某事	To know or be familiar with someone/something	Conocer o estar familiarizado con alguien o algo
日	日	rì	day; sun	día / sol	今天几月几日？	What's today's date?	¿A qué día estamos hoy?			时间单位一天，或指太阳	A day; also refers to the sun	Unidad de tiempo de un día; también se refiere al sol
三	三	sān	three	tres	我有三个朋友。	I have three friends.	Tengo tres amigos.			数字3	The number 3	El número 3
商店	商店	shāng diàn	shop	tienda	附近有一家商店。	There's a shop nearby.	Cerca hay una tienda.	店 (diàn) - shop	店 (diàn) - tienda	卖东西的地方	A place that sells goods	Un lugar donde se venden cosas
上	上	shàng	on; above	encima / sobre	书在桌子上。	The book is on the table.	El libro está sobre la mesa.	下 (xià) - under（反义）	下 (xià) - debajo (antónimo)	位置在高处或前面	A position that is higher or earlier	Una posición más alta o anterior
上班	上班	shàng bān	to go to work	ir a trabajar	我九点上班。	I start work at nine.	Empiezo a trabajar a las nueve.	工作 (gōng zuò) - to work	工作 (gōng zuò) - trabajar	按时到工作单位工作	To go to one's workplace to start work	Ir puntualmente al lugar de trabajo
上课	上課	shàng kè	to attend class	asistir a clase	我们八点上课。	Our class starts at eight.	Nuestra clase empieza a las ocho.	下课 (xià kè) - to finish class（反义）	下课 (xià kè) - terminar la clase (antónimo)	老师教学或学生听课	To teach or attend a class	Enseñar o asistir a una clase
上午	上午	shàng wǔ	morning	mañana (parte del día)	上午我有课。	I have class in the morning.	Por la mañana tengo clase.	早上 (zǎo shang) - morning	早上 (zǎo shang) - mañana	中午之前的时间段	The time before noon	El periodo antes del mediodía
上学	上學	shàng xué	to go to school	ir al colegio	他每天走路上学。	He walks to school every day.	Él va al colegio andando todos los días.			到学校学习	To go to school to study	Ir a la escuela a estudiar
少	少	shǎo	little; few	poco	这里的人很少。	There are few people here.	Aquí hay poca gente.	多 (duō) - much（反义）	多 (duō) - mucho (antónimo)	数量小	A small quantity	Una cantidad pequeña
谁	誰	shéi	who	quién	他是谁？	Who is he?	¿Quién es él?			用于询问人	Used to ask about a person	Se usa para preguntar por una persona
什么	什麼	shén me	what	qué	你叫什么名字？	What is your name?	¿Cómo te llamas?			用于询问事物	Used to ask about a thing	Se usa para preguntar por algo
生病	生病	shēng bìng	to fall ill	enfermar	他生病了。	He fell ill.	Él cayó enfermo.	病 (bìng) - illness	病 (bìng) - enfermedad	身体出现疾病	To become sick	Contraer una enfermedad
十	十	shí	ten	diez	现在十点了。	It's ten o'clock.	Ya son las diez.			数字10	The number 10	El número 10
时候	時候	shí hou	moment; time	momento	现在是吃饭的时候。	Now is the time to eat.	Ahora es el momento de comer.	时间 (shí jiān) - time	时间 (shí jiān) - tiempo	某一段时间或某一时刻	A certain period or moment in time	Un periodo o momento determinado
时间	時間	shí jiān	time	tiempo	我没有时间。	I don't have time.	No tengo tiempo.			事物存在和发展的过程	The dimension in which events occur	La dimensión en la que ocurren los sucesos
事	事	shì	matter	asunto	我有点事。	I have something to attend to.	Tengo un asunto que atender.			事情，需要处理的情况	A matter or thing that needs attention	Un asunto o situación que requiere atención
是	是	shì	to be; yes	ser / sí	我是学生。	I am a student.	Soy estudiante.			表示判断或肯定	Used to make a statement or affirmation	Se usa para afirmar o hacer una declaración
手机	手機	shǒu jī	mobile phone	móvil (teléfono)	我的手机是新的。	My phone is new.	Mi móvil es nuevo.			可以随身携带的电话	A portable telephone	Un teléfono que se puede llevar encima
书	書	shū	book	libro	这本书很好看。	This book is very good.	Este libro es muy bueno.			装订成册的著作	A bound written work	Una obra escrita encuadernada
书店	書店	shū diàn	bookstore	librería	我们去书店看看。	Let's go check out the bookstore.	Vamos a echar un vistazo a la librería.			卖书的商店	A shop that sells books	Una tienda que vende libros
水	水	shuǐ	water	agua	我想喝水。	I want to drink water.	Quiero beber agua.			一种无色透明的液体	A colorless transparent liquid	Un líquido incoloro y transparente
水果	水果	shuǐ guǒ	fruit	fruta	她喜欢吃水果。	She likes eating fruit.	A ella le gusta comer fruta.	苹果 (píng guǒ) - apple	苹果 (píng guǒ) - manzana	可以食用的植物果实	Edible fruit from plants	Fruto comestible de las plantas
睡	睡	shuì	to sleep	dormir	我很困，想睡了。	I'm sleepy, I want to sleep.	Tengo sueño, quiero dormir.	睡觉 (shuì jiào) - to sleep	睡觉 (shuì jiào) - dormir	进入睡眠状态	To enter a state of sleep	Entrar en estado de sueño
睡觉	睡覺	shuì jiào	to sleep	dormir	我晚上十点睡觉。	I go to sleep at ten at night.	Me acuesto a las diez de la noche.	睡 (shuì) - to sleep	睡 (shuì) - dormir	进入睡眠状态	To enter a state of sleep	Entrar en estado de sueño
说	說	shuō	to speak	hablar	他说汉语说得很好。	He speaks Chinese very well.	Él habla muy bien chino.			用语言表达意思	To express something with words	Expresar algo con palabras
说话	說話	shuō huà	to talk	hablar / conversar	请不要大声说话。	Please don't talk loudly.	Por favor, no hables tan alto.	说 (shuō) - to speak	说 (shuō) - hablar	用语言交流	To communicate using language	Comunicarse mediante el lenguaje
四	四	sì	four	cuatro	现在四点了。	It's four o'clock.	Ya son las cuatro.			数字4	The number 4	El número 4
岁	歲	suì	years old	años (de edad)	我今年二十岁。	I'm twenty years old this year.	Este año cumplo veinte años.	年龄 (nián líng) - age	年龄 (nián líng) - edad	用于表示年龄	Used to indicate age	Se usa para indicar la edad
他	他	tā	he	él	他是我的老师。	He is my teacher.	Él es mi profesor.			指男性第三人称	Third-person pronoun for a male	Pronombre de tercera persona masculino
它	它	tā	it	ello (cosa/animal)	它是一只猫。	It is a cat.	Es un gato.			指非人事物的第三人称	Third-person pronoun for non-human things	Pronombre de tercera persona para cosas o animales
她	她	tā	she	ella	她是我的朋友。	She is my friend.	Ella es mi amiga.			指女性第三人称	Third-person pronoun for a female	Pronombre de tercera persona femenino
他们	他們	tā men	they	ellos	他们是学生。	They are students.	Ellos son estudiantes.			指多个人（男性或混合）	Third-person plural pronoun (male/mixed)	Pronombre de tercera persona plural (masculino/mixto)
它们	它們	tā men	they (things)	ellos (cosas)	它们是我的书。	They are my books.	Son mis libros.			指多个非人事物	Third-person plural pronoun for non-human things	Pronombre de tercera persona plural para cosas
她们	她們	tā men	they (females)	ellas	她们是我的同学。	They are my classmates.	Ellas son mis compañeras de clase.			指多个女性	Third-person plural pronoun for females	Pronombre de tercera persona plural femenino
太	太	tài	too; extremely	demasiado	今天太热了。	It's too hot today.	Hoy hace demasiado calor.			表示程度过分	Indicates an excessive degree	Indica un grado excesivo
天	天	tiān	day; sky	día / cielo	今天天气很好。	The weather is nice today.	Hoy hace muy buen tiempo.			时间单位一天，或指天空	A day; also refers to the sky	Unidad de tiempo de un día; también se refiere al cielo
天气	天氣	tiān qì	weather	tiempo (meteorológico)	今天天气怎么样？	How's the weather today?	¿Qué tal el tiempo hoy?			大气的冷热、阴晴等状况	Atmospheric conditions like temperature and rain	Las condiciones atmosféricas, como temperatura o lluvia
听	聽	tīng	to listen	escuchar	我喜欢听音乐。	I like listening to music.	Me gusta escuchar música.	听见 (tīng jiàn) - to hear	听见 (tīng jiàn) - oír	用耳朵接收声音	To perceive sound with the ears	Percibir el sonido con los oídos
听见	聽見	tīng jiàn	to hear	oír	我听见你说话了。	I heard you talking.	Te oí hablar.	听 (tīng) - to listen	听 (tīng) - escuchar	用耳朵感觉到声音	To perceive sound with the ears	Percibir el sonido con los oídos
同学	同學	tóng xué	classmate	compañero/a de clase	他是我的同学。	He is my classmate.	Él es mi compañero de clase.	朋友 (péng you) - friend	朋友 (péng you) - amigo	一起学习的人	A person who studies together with you	Una persona que estudia junto a uno
外	外	wài	outside	fuera	他在外工作。	He works outside (away from home).	Él trabaja fuera (de casa).	外边 (wài bian) - outside（反义：里 lǐ）	外边 (wài bian) - fuera (antónimo: 里 lǐ)	某个范围之外	Beyond a certain boundary	Más allá de un límite determinado
外边	外邊	wài bian	outside	fuera / afuera	外边很冷。	It's cold outside.	Fuera hace frío.	外 (wài) - outside	外 (wài) - fuera	某个地方的外面	The outer part of a place	La parte exterior de un lugar
玩	玩	wán	to play	jugar	孩子们在公园玩。	The children are playing in the park.	Los niños juegan en el parque.	玩儿 (wánr) - to play	玩儿 (wánr) - jugar	做使自己快乐的事情	To do something for enjoyment	Hacer algo por diversión
晚	晚	wǎn	late; evening	tarde / noche	他来晚了。	He came late.	Llegó tarde.	晚上 (wǎn shang) - evening	晚上 (wǎn shang) - noche	时间靠后，或指夜晚	Later in time, or referring to night	Tarde en el tiempo, o referido a la noche
晚饭	晚飯	wǎn fàn	dinner	cena	我们七点吃晚饭。	We eat dinner at seven.	Cenamos a las siete.			晚上吃的饭	The meal eaten in the evening	La comida que se toma por la noche
晚上	晚上	wǎn shang	evening	noche	晚上我在家看书。	In the evening I read at home.	Por la noche leo en casa.	晚 (wǎn) - late	晚 (wǎn) - tarde	天黑以后的时间	The time after dark	El tiempo después de anochecer
喂	喂	wèi	hey; hello (phone)	oiga / diga (al teléfono)	喂，你好，请问是李老师吗？	Hello, is this Teacher Li?	¿Oiga, es usted el profesor Li?			打招呼或打电话时的用语	A greeting, especially used on the phone	Un saludo, especialmente usado al teléfono
问	問	wèn	to ask	preguntar	我想问一个问题。	I want to ask a question.	Quiero hacer una pregunta.			提出问题以求解答	To pose a question seeking an answer	Plantear una pregunta buscando una respuesta
问题	問題	wèn tí	question; problem	pregunta / problema	我有一个问题。	I have a question.	Tengo una pregunta.			需要解答或解决的事情	Something requiring an answer or solution	Algo que requiere una respuesta o solución
我	我	wǒ	I; me	yo	我是学生。	I am a student.	Soy estudiante.			指说话人自己	First-person pronoun referring to the speaker	Pronombre de primera persona, quien habla
我们	我們	wǒ men	we	nosotros	我们是朋友。	We are friends.	Somos amigos.			指说话人和其他人	First-person plural pronoun	Pronombre de primera persona en plural
五	五	wǔ	five	cinco	现在五点了。	It's five o'clock.	Ya son las cinco.			数字5	The number 5	El número 5
午饭	午飯	wǔ fàn	lunch	almuerzo	我们十二点吃午饭。	We eat lunch at twelve.	Almorzamos a las doce.			中午吃的饭	The meal eaten at noon	La comida que se toma al mediodía
喜欢	喜歡	xǐ huan	to like	gustar	我喜欢喝茶。	I like drinking tea.	Me gusta tomar té.	爱 (ài) - to love	爱 (ài) - amar	对人或事物有好感	To have a fondness for someone/something	Sentir agrado por alguien o algo
下	下	xià	under; next	debajo / próximo	书在桌子下。	The book is under the table.	El libro está debajo de la mesa.	上 (shàng) - on（反义）	上 (shàng) - encima (antónimo)	位置在低处，或指接下来	"A lower position, or ""next"""	"Una posición más baja, o ""el próximo"""
下班	下班	xià bān	to finish work	salir del trabajo	我六点下班。	I finish work at six.	Salgo del trabajo a las seis.	上班 (shàng bān) - to go to work（反义）	上班 (shàng bān) - ir a trabajar (antónimo)	结束一天的工作	To finish one's workday	Terminar la jornada laboral
下课	下課	xià kè	to finish class	terminar la clase	下课以后我们去吃饭。	After class, let's go eat.	Después de clase vamos a comer.	上课 (shàng kè) - to attend class（反义）	上课 (shàng kè) - asistir a clase (antónimo)	一节课结束	A class period ends	Termina un periodo de clase
下午	下午	xià wǔ	afternoon	tarde (parte del día)	下午我要上课。	I have class in the afternoon.	Por la tarde tengo clase.			中午之后到晚上之前	The time after noon and before evening	El tiempo después del mediodía y antes de la noche
下雨	下雨	xià yǔ	to rain	llover	今天下雨了。	It's raining today.	Hoy está lloviendo.			天空落下雨水	Rain falls from the sky	Cae lluvia del cielo
先生	先生	xiān sheng	Mister; sir	señor	这位先生是老师。	This gentleman is a teacher.	Este señor es profesor.	女士 (nǚ shì) - Ms.（反义）	女士 (nǚ shì) - señora (antónimo)	对男性的尊称	A polite term for a man	Un tratamiento respetuoso para un hombre
现在	現在	xiàn zài	now	ahora	现在几点了？	What time is it now?	¿Qué hora es ahora?			说话时的这个时刻	The present moment	El momento actual
想	想	xiǎng	to want; to think	querer / pensar	我想喝水。	I want to drink water.	Quiero beber agua.	觉得 (jué de) - to feel	觉得 (jué de) - sentir	希望做某事，或思考	To wish to do something, or to think	Desear hacer algo, o pensar
小	小	xiǎo	small	pequeño	这个杯子很小。	This cup is small.	Esta taza es pequeña.	大 (dà) - big（反义）	大 (dà) - grande (antónimo)	体积、面积等小于一般标准	Smaller than average in size	Menor que el tamaño habitual
小朋友	小朋友	xiǎo péng you	child	niño/a (pequeño)	小朋友们在玩游戏。	The children are playing games.	Los niños están jugando.	孩子 (hái zi) - child	孩子 (hái zi) - niño	对儿童的称呼	A term for a young child	Una forma de llamar a un niño pequeño
小时	小時	xiǎo shí	hour	hora	我睡了八个小时。	I slept for eight hours.	Dormí ocho horas.			时间单位，六十分钟	A unit of time equal to sixty minutes	Unidad de tiempo equivalente a sesenta minutos
小学	小學	xiǎo xué	primary school	escuela primaria	他在小学教书。	He teaches at a primary school.	Él da clases en una escuela primaria.			儿童接受初等教育的学校	A school for elementary education	Una escuela de educación primaria
小学生	小學生	xiǎo xué shēng	primary school student	estudiante de primaria	他是小学生。	He is a primary school student.	Él es estudiante de primaria.			在小学学习的学生	A student studying at primary school	Un estudiante que estudia en la escuela primaria
些	些	xiē	some	algunos/as	桌子上有一些书。	There are some books on the table.	Hay algunos libros sobre la mesa.	一些 (yì xiē) - some	一些 (yì xiē) - algunos	表示不确定的少量	Indicates an indefinite small amount	Indica una cantidad pequeña e indeterminada
写	寫	xiě	to write	escribir	她在写汉字。	She is writing Chinese characters.	Ella está escribiendo caracteres chinos.			用笔在纸上记录文字	To record words on paper with a pen	Registrar palabras en papel con un bolígrafo
谢谢	謝謝	xiè xie	thanks	gracias	谢谢你的帮助。	Thanks for your help.	Gracias por tu ayuda.			表示感谢	An expression of gratitude	Una expresión de agradecimiento
新	新	xīn	new	nuevo	我买了一个新手机。	I bought a new phone.	Compré un móvil nuevo.	旧 (jiù) - old（反义）	旧 (jiù) - viejo (antónimo)	刚出现或刚使用的	Recently made or used	Recién hecho o usado
星期	星期	xīng qī	week	semana	一个星期有七天。	A week has seven days.	Una semana tiene siete días.			时间单位，七天	A unit of time equal to seven days	Unidad de tiempo equivalente a siete días
星期日	星期日	xīng qī rì	Sunday	domingo	星期日我不上班。	I don't work on Sundays.	Los domingos no trabajo.	星期天 (xīng qī tiān) - Sunday	星期天 (xīng qī tiān) - domingo	一周的最后一天	The last day of the week	El último día de la semana
星期天	星期天	xīng qī tiān	Sunday	domingo	星期天我们去公园。	On Sunday we're going to the park.	El domingo vamos al parque.	星期日 (xīng qī rì) - Sunday	星期日 (xīng qī rì) - domingo	一周的最后一天，口语常用	The last day of the week, colloquial	El último día de la semana, coloquial
休息	休息	xiū xi	to rest	descansar	我今天要休息。	I want to rest today.	Hoy quiero descansar.			停止工作以恢复精力	To stop working to recover energy	Dejar de trabajar para recuperar energía
学	學	xué	to study	estudiar / aprender	他在学汉语。	He is learning Chinese.	Él está aprendiendo chino.	学习 (xué xí) - to study	学习 (xué xí) - estudiar	学习知识或技能	To acquire knowledge or skills	Adquirir conocimientos o habilidades
学生	學生	xué sheng	student	estudiante	她是一名学生。	She is a student.	Ella es estudiante.			在学校学习的人	A person studying at a school	Una persona que estudia en un centro educativo
学习	學習	xué xí	to study	estudiar	我每天学习汉语。	I study Chinese every day.	Estudio chino todos los días.	学 (xué) - to study	学 (xué) - estudiar	学习知识或技能的过程	The process of acquiring knowledge or skills	El proceso de adquirir conocimientos o habilidades
学校	學校	xué xiào	school	escuela / colegio	我们的学校很大。	Our school is very big.	Nuestra escuela es muy grande.			专门进行教育的机构	An institution dedicated to education	Una institución dedicada a la educación
雪	雪	xuě	snow	nieve	外边下雪了。	It's snowing outside.	Está nevando fuera.	雨 (yǔ) - rain	雨 (yǔ) - lluvia	天空落下的白色结晶	White crystals that fall from the sky	Cristales blancos que caen del cielo
要	要	yào	to want; must	querer / deber	我要一杯茶。	I want a cup of tea.	Quiero una taza de té.	想 (xiǎng) - to want	想 (xiǎng) - querer	希望得到或必须做	To wish to have, or must do something	Desear tener algo, o tener que hacer algo
也	也	yě	also; too	también	我也是学生。	I am also a student.	Yo también soy estudiante.	还 (hái) - also	还 (hái) - también	表示同样情况	Indicates the same applies	Indica que se aplica lo mismo
一	一	yī	one	uno	我有一本书。	I have one book.	Tengo un libro.			数字1	The number 1	El número 1
衣服	衣服	yī fu	clothes	ropa	这件衣服很漂亮。	This piece of clothing is very pretty.	Esta prenda es muy bonita.			穿在身上的东西	Something worn on the body	Algo que se lleva puesto en el cuerpo
医生	醫生	yī shēng	doctor	médico/a	我姐姐是医生。	My older sister is a doctor.	Mi hermana mayor es médica.	大夫 (dài fu) - doctor	大夫 (dài fu) - médico	给人看病的人	A person who treats the sick	Una persona que atiende a los enfermos
医院	醫院	yī yuàn	hospital	hospital	他在医院工作。	He works at a hospital.	Él trabaja en un hospital.			治疗病人的地方	A place for treating the sick	Un lugar para tratar a los enfermos
一半	一半	yí bàn	half	la mitad	他吃了一半的苹果。	He ate half of the apple.	Se comió la mitad de la manzana.	半 (bàn) - half	半 (bàn) - mitad	二分之一	One of two equal parts	Una de dos partes iguales
一下	一下	yí xià	briefly	un momento	请等一下。	Please wait a moment.	Espera un momento, por favor.			用于动词后表示动作短暂	Used after a verb to indicate a brief action	Se usa tras un verbo para indicar una acción breve
椅子	椅子	yǐ zi	chair	silla	请坐在椅子上。	Please sit on the chair.	Siéntate en la silla, por favor.	桌子 (zhuō zi) - table	桌子 (zhuō zi) - mesa	供人坐的家具	Furniture for sitting	Un mueble para sentarse
一点儿	一點兒	yì diǎnr	a bit	un poco	我有一点儿累。	I'm a bit tired.	Estoy un poco cansado.	有点儿 (yǒu diǎnr) - a bit	有点儿 (yǒu diǎnr) - un poco	表示很少的数量或程度	Indicates a small amount or degree	Indica una cantidad o grado pequeño
一些	一些	yì xiē	some	algunos	我买了一些水果。	I bought some fruit.	Compré algo de fruta.	些 (xiē) - some	些 (xiē) - algunos	表示不确定的少量	Indicates an indefinite small amount	Indica una cantidad pequeña e indeterminada
有	有	yǒu	to have	tener / haber	我有一本书。	I have a book.	Tengo un libro.	没有 (méi yǒu) - not have（反义）	没有 (méi yǒu) - no tener (antónimo)	表示拥有或存在	Indicates possession or existence	Indica posesión o existencia
有的	有的	yǒu de	some (of them)	algunos (de ellos)	学生有的在看书，有的在写字。	Some students are reading, some are writing.	Algunos estudiantes leen, otros escriben.	有些 (yǒu xiē) - some	有些 (yǒu xiē) - algunos	表示一部分	Refers to a part of a group	Se refiere a una parte de un grupo
有点儿	有點兒	yǒu diǎnr	a bit	un poco	今天有点儿冷。	It's a bit cold today.	Hoy hace un poco de frío.	一点儿 (yì diǎnr) - a bit	一点儿 (yì diǎnr) - un poco	用在形容词前表示程度轻微	Used before an adjective to indicate a slight degree	Se usa antes de un adjetivo para indicar un grado leve
有些	有些	yǒu xiē	some	algunos	有些人喜欢喝茶。	Some people like drinking tea.	A algunas personas les gusta tomar té.	有的 (yǒu de) - some	有的 (yǒu de) - algunos	表示一部分，或表示稍微	"Refers to a part, or ""somewhat"""	"Se refiere a una parte, o significa ""un poco"""
雨	雨	yǔ	rain	lluvia	外边正在下雨。	It's raining outside.	Fuera está lloviendo.	雪 (xuě) - snow	雪 (xuě) - nieve	从云中落下的水滴	Water drops falling from clouds	Gotas de agua que caen de las nubes
元	元	yuán	yuan (currency)	yuan (moneda)	这本书二十元。	This book costs twenty yuan.	Este libro cuesta veinte yuanes.	块 (kuài) - yuan	块 (kuài) - yuan	中国的货币单位	A unit of Chinese currency	Una unidad de la moneda china
月	月	yuè	month; moon	mes / luna	一年有十二个月。	A year has twelve months.	Un año tiene doce meses.			时间单位，也指月亮	A unit of time; also refers to the moon	Unidad de tiempo; también se refiere a la luna
再	再	zài	again	de nuevo	请再说一遍。	Please say it again.	Dilo otra vez, por favor.			表示动作重复	Indicates a repeated action	Indica que una acción se repite
在	在	zài	at; in; on	estar (en un lugar)	我在家。	I am at home.	Estoy en casa.			表示存在于某处	Indicates being present in a place	Indica que algo está presente en un lugar
再见	再見	zài jiàn	goodbye	adiós	老师，再见！	Goodbye, teacher!	¡Adiós, profesor!			分别时说的话	Words said when parting	Palabras que se dicen al despedirse
早	早	zǎo	early	temprano	他每天起得很早。	He gets up early every day.	Él se levanta muy temprano todos los días.	早上 (zǎo shang) - morning	早上 (zǎo shang) - mañana	比一般时间靠前	Earlier than usual	Antes de lo habitual
早饭	早飯	zǎo fàn	breakfast	desayuno	我七点吃早饭。	I eat breakfast at seven.	Desayuno a las siete.			早上吃的饭	The meal eaten in the morning	La comida que se toma por la mañana
早上	早上	zǎo shang	morning	mañana (temprano)	早上我喝牛奶。	In the morning I drink milk.	Por la mañana bebo leche.	上午 (shàng wǔ) - morning	上午 (shàng wǔ) - mañana	一天刚开始的时段	The beginning part of the day	La parte inicial del día
怎么	怎麼	zěn me	how	cómo	这个字怎么写？	How do you write this character?	¿Cómo se escribe este carácter?			用于询问方式或原因	Used to ask about a manner or reason	Se usa para preguntar por el modo o la razón
怎么样	怎麼樣	zěn me yàng	how about	qué tal	今天天气怎么样？	How's the weather today?	¿Qué tal el tiempo hoy?			用于询问情况或征求意见	Used to ask about a situation or opinion	Se usa para preguntar por una situación u opinión
找	找	zhǎo	to look for	buscar	我在找我的手机。	I'm looking for my phone.	Estoy buscando mi móvil.			寻找想要得到的人或物	To search for a person or thing	Buscar a una persona o cosa que se desea encontrar
这	這	zhè	this	este/esta/esto	这是我的书。	This is my book.	Este es mi libro.	这个 (zhè ge) - this one	这个 (zhè ge) - este	指较近的事物	Refers to something nearby	Señala algo que está cerca
这边	這邊	zhè bian	here	por aquí	请到这边来。	Please come over here.	Ven por aquí, por favor.	这里 (zhè lǐ) - here	这里 (zhè lǐ) - aquí	指较近的方位	Refers to a nearby location	Señala una posición cercana
