Simplified	Traditional	Pinyin	Meaning	MeaningES	SentenceSimplified	SentenceMeaning	SentenceMeaningES	Synonyms	SynonymsES	DictionarySimplified	DictionaryMeaning	DictionaryMeaningES
公园	公園	gōngyuán	park	parque	我们在公园散步。	We took a walk in the park.	Dimos un paseo por el parque.			供公众休闲的场所	a place for public leisure	lugar de ocio público
工作日	工作日	gōngzuòrì	workday	día laborable	工作日不能去旅游。	You can't travel on workdays.	No se puede viajar en días laborables.			需要上班的日子	a day when one needs to work	día en que hay que trabajar
故事	故事	gùshi	story	cuento, historia	妈妈给我讲故事。	Mom tells me stories.	Mamá me cuenta cuentos.			叙述人物经历的文字或口头讲述	a narration of a character's experiences, written or spoken	narración de las experiencias de un personaje, escrita u oral
刮	颳	guā	to scrape, to blow	soplar (viento)	外面刮风了。	The wind is blowing outside.	Está soplando viento afuera.			风吹动	the wind blows	el viento sopla
关	關	guān	to close, to turn off	cerrar, apagar	请关上窗户。	Please close the window.	Por favor, cierra la ventana.			使开着的东西合上	to make something open become closed	hacer que algo abierto se cierre
关机	關機	guānjī	to turn off device	apagar el dispositivo	睡觉前请关机。	Please turn off your device before sleeping.	Apaga el dispositivo antes de dormir.			关闭电子设备的电源	to turn off the power of an electronic device	apagar la energía de un dispositivo electrónico
关系	關係	guānxì	relationship	relación	他们的关系很好。	Their relationship is very good.	Su relación es muy buena.			人或事物之间的联系	a connection between people or things	una conexión entre personas o cosas
关心	關心	guānxīn	to care about	preocuparse por	老师很关心学生。	The teacher cares a lot about the students.	El profesor se preocupa mucho por los estudiantes.			把人或事物放在心上	to keep a person or thing in one's heart	tener presente a una persona o cosa
关于	關於	guānyú	about, regarding	sobre, acerca de	这是一本关于历史的书。	This is a book about history.	Este es un libro sobre historia.			表示涉及的事物	indicates the matter concerned	indica el asunto en cuestión
关注	關注	guānzhù	to pay attention to, to follow	seguir con atención	很多人关注这个消息。	Many people are paying attention to this news.	Mucha gente sigue esta noticia con atención.			关心重视，密切注意	to care about and pay close attention	preocuparse y prestar mucha atención
国家	國家	guójiā	country	país	世界上有很多国家。	There are many countries in the world.	Hay muchos países en el mundo.			拥有独立主权的地区	a region with independent sovereignty	región con soberanía independiente
过节	過節	guòjié	to celebrate a festival	celebrar una festividad	一家人一起过节。	The whole family celebrates the festival together.	Toda la familia celebra la festividad junta.			庆祝节日	to celebrate a holiday	celebrar una fiesta
过去	過去	guòqù	past	pasado	过去的事就让它过去吧。	Let the past be the past.	Deja que el pasado quede en el pasado.			已经经历的时间	time that has already passed	tiempo que ya ha transcurrido
海	海	hǎi	sea	mar	我们暑假去看海。	We're going to see the sea this summer.	Vamos a ver el mar este verano.			广大的咸水水域	a vast body of salt water	una vasta extensión de agua salada
害怕	害怕	hàipà	to be afraid	tener miedo	她害怕一个人在家。	She's afraid of being home alone.	Tiene miedo de estar sola en casa.			心里感到恐惧	to feel fear inside	sentir miedo por dentro
好多	好多	hǎoduō	many, a lot	muchos	公园里有好多人。	There are a lot of people in the park.	Hay mucha gente en el parque.			很多	very many	muchos
好久	好久	hǎojiǔ	a long time	mucho tiempo	好久不见！	Long time no see!	¡Cuánto tiempo sin verte!			很长的时间	a very long time	mucho tiempo
好像	好像	hǎoxiàng	to seem, as if	parecer	天好像要下雨了。	It looks like it's going to rain.	Parece que va a llover.			表示不十分确定的判断	indicates an uncertain judgment	indica un juicio no del todo seguro
号码	號碼	hàomǎ	number, code	número	请告诉我你的电话号码。	Please tell me your phone number.	Dime tu número de teléfono, por favor.			表示次序或身份的数字	a digit indicating order or identity	cifra que indica orden o identidad
河	河	hé	river	río	这条河很长。	This river is very long.	Este río es muy largo.			陆地上的天然水流	a natural flow of water on land	un flujo natural de agua en tierra
合适	合適	héshì	suitable	adecuado	这件衣服很合适。	This piece of clothing is very suitable.	Esta ropa le queda muy bien.			符合要求，正合适	meeting requirements, just right	que cumple los requisitos, justo lo adecuado
黑板	黑板	hēibǎn	blackboard	pizarra	老师在黑板上写字。	The teacher writes on the blackboard.	El profesor escribe en la pizarra.			用于书写的深色板子	a dark board used for writing	tablero oscuro que se usa para escribir
红绿灯	紅綠燈	hóng-lǜdēng	traffic light	semáforo	请在红绿灯那里右转。	Please turn right at the traffic light.	Gira a la derecha en el semáforo.			指挥交通的信号灯	a signal light that directs traffic	semáforo que dirige el tráfico
后来	後來	hòulái	later, afterwards	después, más tarde	后来他们成了好朋友。	Afterwards, they became good friends.	Más tarde, se hicieron buenos amigos.			指某件事之后的时间	refers to the time after a certain event	se refiere al tiempo después de cierto suceso
后年	後年	hòunián	the year after next	dentro de dos años	我们后年再来。	We'll come again the year after next.	Volveremos dentro de dos años.			明年的下一年	the year after next year	el año siguiente al próximo
后天	後天	hòutiān	the day after tomorrow	pasado mañana	后天是我的生日。	The day after tomorrow is my birthday.	Pasado mañana es mi cumpleaños.			明天的下一天	the day after tomorrow	el día después de mañana
护照	護照	hùzhào	passport	pasaporte	出国旅游需要护照。	You need a passport to travel abroad.	Se necesita pasaporte para viajar al extranjero.			出入国境用的身份证件	an identity document used for crossing borders	documento de identidad usado para cruzar fronteras
花园	花園	huāyuán	garden	jardín	他家有一个漂亮的花园。	His house has a beautiful garden.	Su casa tiene un jardín precioso.			种花草树木供观赏的地方	a place where flowers and plants are grown for viewing	lugar donde se cultivan flores y plantas para admirar
画家	畫家	huàjiā	painter, artist	pintor	他是一位有名的画家。	He is a famous painter.	Es un pintor famoso.			以绘画为职业的人	a person whose profession is painting	persona cuya profesión es la pintura
欢迎	歡迎	huānyíng	to welcome	dar la bienvenida	欢迎来到中国！	Welcome to China!	¡Bienvenido a China!			高兴地迎接	to happily receive someone	recibir a alguien con alegría
还	還	huán	to return, to give back	devolver	我明天还你钱。	I'll pay you back tomorrow.	Te devolveré el dinero mañana.			把借的东西给回去	to give back something borrowed	devolver algo prestado
环境	環境	huánjìng	environment	medio ambiente	我们要保护环境。	We must protect the environment.	Debemos proteger el medio ambiente.			周围的自然条件和社会条件	the surrounding natural and social conditions	las condiciones naturales y sociales circundantes
换	換	huàn	to exchange, to change	cambiar	我想换一件大一点儿的。	I want to exchange for a slightly bigger one.	Quiero cambiarlo por uno un poco más grande.			用一物代替另一物	to substitute one thing for another	sustituir una cosa por otra
黄色	黃色	huángsè	yellow	amarillo	她喜欢黄色的花。	She likes yellow flowers.	A ella le gustan las flores amarillas.			像香蕉一样的颜色	a color like a banana	color como el de un plátano
回答	回答	huídá	to answer	responder	请回答我的问题。	Please answer my question.	Por favor, responde a mi pregunta.			对问题给出反应	to give a response to a question	dar una respuesta a una pregunta
会	會	huì	meeting	reunión	明天有一个重要的会。	There's an important meeting tomorrow.	Mañana hay una reunión importante.			多人聚集商议事情的活动	an activity where people gather to discuss matters	actividad en la que se reúne gente para discutir asuntos
会议	會議	huìyì	meeting	reunión (formal)	会议下午三点开始。	The meeting starts at 3pm.	La reunión empieza a las tres de la tarde.			正式讨论问题的集会	a formal gathering to discuss issues	reunión formal para discutir asuntos
或	或	huò	or	o	你可以坐火车或飞机去。	You can go by train or plane.	Puedes ir en tren o en avión.			表示选择	indicates a choice	indica una elección
或者	或者	huòzhě	or	o	我们可以喝茶或者咖啡。	We can drink tea or coffee.	Podemos tomar té o café.			表示选择关系	indicates a relationship of choice	indica una relación de elección
鸡	雞	jī	chicken	pollo	妈妈做了红烧鸡。	Mom made braised chicken.	Mamá preparó pollo estofado.			一种常见的家禽	a common domestic fowl	un ave doméstica común
几乎	幾乎	jīhū	almost	casi	他几乎每天都来。	He comes almost every day.	Viene casi todos los días.			差不多，接近于	nearly, close to	casi, cercano a
机会	機會	jīhuì	opportunity	oportunidad	这是一个很好的机会。	This is a great opportunity.	Esta es una gran oportunidad.			有利的时机	a favorable moment	un momento favorable
极	極	jí	extremely	extremadamente	这个菜好吃极了。	This dish is extremely delicious.	Este plato está buenísimo.			表示程度最高	indicates the highest degree	indica el grado máximo
急	急	jí	urgent	urgente	这件事很急。	This matter is very urgent.	Este asunto es muy urgente.			需要马上处理，很快	needing to be handled right away, quick	que necesita atenderse enseguida, rápido
记	記	jì	to remember	recordar, apuntar	你要记住这个地址。	You need to remember this address.	Tienes que memorizar esta dirección.			把印象保持在脑子里	to keep an impression in one's mind	mantener una impresión en la mente
季	季	jì	season	estación	一年有四季。	There are four seasons in a year.	Hay cuatro estaciones en un año.			一年中的一个时期	a period within a year	un periodo dentro de un año
季节	季節	jìjié	season	estación (del año)	春天是我最喜欢的季节。	Spring is my favorite season.	La primavera es mi estación favorita.			根据气候划分的时期	a period divided according to climate	periodo dividido según el clima
加	加	jiā	to add	añadir	请给我的咖啡加一点儿糖。	Please add a bit of sugar to my coffee.	Añade un poco de azúcar a mi café, por favor.			使数量增多	to increase a quantity	aumentar una cantidad
假期	假期	jiàqī	vacation	vacaciones	假期我打算去旅游。	I plan to travel during the vacation.	Pienso viajar durante las vacaciones.			放假的时间	the period of a holiday	el periodo de vacaciones
坚持	堅持	jiānchí	to persist	persistir	只要坚持，就会成功。	As long as you persist, you will succeed.	Con tal de que persistas, tendrás éxito.			不放弃地继续做某事	to continue doing something without giving up	continuar haciendo algo sin rendirse
检查	檢查	jiǎnchá	to check, to inspect	revisar	医生给他检查了身体。	The doctor examined his body.	El médico le hizo una revisión.			为了发现问题而察看	to look over in order to find problems	examinar para encontrar problemas
简单	簡單	jiǎndān	simple	sencillo	这道题很简单。	This question is very simple.	Esta pregunta es muy sencilla.			不复杂，容易理解	not complicated, easy to understand	no complicado, fácil de entender
检票	檢票	jiǎnpiào	ticket checking	control de billetes	请在这里检票。	Please check your ticket here.	Por favor, valide su billete aquí.			检查车票或门票	to check a train ticket or admission ticket	revisar un billete de tren o entrada
健康	健康	jiànkāng	healthy	saludable	多运动对健康有好处。	Exercising more is good for health.	Hacer más ejercicio es bueno para la salud.			身体没有疾病，机能正常	the body is free of disease, functioning normally	el cuerpo está libre de enfermedad, funcionando con normalidad
见面	見面	jiànmiàn	to meet	verse, encontrarse	我们明天见面吧。	Let's meet tomorrow.	Vámonos a ver mañana.			彼此当面相见	to see each other face to face	verse cara a cara
讲	講	jiǎng	to speak, to talk	hablar, explicar	老师在讲一个故事。	The teacher is telling a story.	El profesor está contando una historia.			说，叙述	to speak, to narrate	hablar, narrar
角	角	jiǎo	measure word for fractions, angle, currency	(unidad monetaria; ángulo)	这个玩具十块五角。	This toy costs ten yuan and five jiao.	Este juguete cuesta diez yuanes con cincuenta céntimos.			货币单位，十分之一元；也指角度	a monetary unit, one-tenth of a yuan; also refers to an angle	unidad monetaria, una décima parte de un yuan; también se refiere a un ángulo
脚	腳	jiǎo	foot	pie	我的脚有点儿疼。	My foot hurts a little.	Me duele un poco el pie.			人或动物腿的最下部分	the lowest part of a person's or animal's leg	la parte más baja de la pierna de una persona o animal
接	接	jiē	to pick up, to receive	recoger, recibir	我去机场接你。	I'll go pick you up at the airport.	Iré a recogerte al aeropuerto.			迎接，或用手拿住	to welcome, or to catch with the hand	recibir, o coger con la mano
街	街	jiē	street	calle	这条街很热闹。	This street is very lively.	Esta calle es muy animada.			城市里两边有房屋的道路	a road in a city lined with buildings	camino en una ciudad bordeado de edificios
节	節	jié	measure word for sections; festival	(clasificador de secciones); festividad	中秋节是重要的节日。	Mid-Autumn Festival is an important festival.	El Festival del Medio Otoño es una festividad importante.			段落或课时的量词；也指节日	a measure word for a section or class period; also refers to a festival	clasificador para una sección o periodo de clase; también se refiere a una festividad
结婚	結婚	jiéhūn	to marry	casarse	他们下个月结婚。	They're getting married next month.	Se casan el mes que viene.			男女成为夫妻	a man and woman become husband and wife	un hombre y una mujer se convierten en marido y mujer
节目	節目	jiémù	program	programa	这是一个很有意思的电视节目。	This is a very interesting TV program.	Este es un programa de televisión muy interesante.			演出或播放的内容	the content performed or broadcast	el contenido representado o emitido
节日	節日	jiérì	festival	festividad	春节是中国最重要的节日。	Spring Festival is China's most important festival.	El Festival de Primavera es la festividad más importante de China.			具有纪念意义的日子	a day with commemorative significance	un día con significado conmemorativo
结束	結束	jiéshù	to end	terminar	电影结束了。	The movie has ended.	La película ha terminado.			事情发展到最后阶段	an event reaches its final stage	un suceso llega a su etapa final
解决	解決	jiějué	to solve	resolver	我们需要解决这个问题。	We need to solve this problem.	Necesitamos resolver este problema.			处理问题使有结果	to handle a problem to reach a resolution	gestionar un problema hasta llegar a una resolución
姐妹	姐妹	jiěmèi	sister	hermanas	她们是姐妹。	They are sisters.	Ellas son hermanas.			姐姐和妹妹	older and younger sisters	hermana mayor y hermana menor
借	借	jiè	to borrow	pedir prestado	我想借你的自行车。	I want to borrow your bicycle.	Quiero pedirte prestada tu bicicleta.			暂时使用别人的东西	to temporarily use someone else's thing	usar temporalmente algo de otra persona
斤	斤	jīn	catty (unit of weight)	jin (unidad de peso)	我买了一斤苹果。	I bought a jin of apples.	Compré medio kilo de manzanas.			中国传统的重量单位	a traditional Chinese unit of weight	unidad tradicional china de peso
经过	經過	jīngguò	to pass; process	pasar por; proceso	我每天经过这家商店。	I pass by this store every day.	Paso por esta tienda todos los días.			通过某处或某段时间	to go through a place or period of time	pasar por un lugar o periodo de tiempo
经理	經理	jīnglǐ	manager	gerente	他是公司的经理。	He is the company's manager.	Es el gerente de la empresa.			负责管理业务的人	a person responsible for managing business	persona responsable de gestionar el negocio
久	久	jiǔ	long (time)	mucho tiempo	你在这儿住了多久？	How long have you lived here?	¿Cuánto tiempo llevas viviendo aquí?			时间长	a long time	mucho tiempo
酒	酒	jiǔ	alcohol	alcohol, licor	他不喝酒。	He doesn't drink alcohol.	Él no bebe alcohol.			含酒精的饮料	a beverage containing alcohol	bebida que contiene alcohol
旧	舊	jiù	old (not new)	viejo (usado)	这是一辆旧车。	This is an old car.	Este es un coche viejo.			使用过很久，不新	used for a long time, not new	usado durante mucho tiempo, no nuevo
句	句	jù	measure word of sentence	(clasificador de oraciones)	他说了一句话。	He said a sentence.	Dijo una frase.			用于语言单位的量词	a measure word for a unit of language	clasificador para una unidad de lenguaje
句子	句子	jùzi	sentence	oración	请用这个词造一个句子。	Please make a sentence with this word.	Haz una oración con esta palabra.			能表达完整意思的一组词	a group of words that expresses a complete idea	un conjunto de palabras que expresa una idea completa
决定	決定	juédìng	to decide; decision	decidir; decisión	我已经决定了。	I've already decided.	Ya lo he decidido.			做出最后的选择	to make a final choice	tomar una decisión final
卡	卡	kǎ	card	tarjeta	请出示你的会员卡。	Please show your membership card.	Por favor, muestra tu tarjeta de socio.			硬质的小卡片	a small, hard card	tarjeta pequeña y rígida
开花	開花	kāihuā	to bloom	florecer	春天花都开花了。	In spring, all the flowers bloom.	En primavera, todas las flores florecen.			植物长出花朵	a plant produces flowers	una planta produce flores
开会	開會	kāihuì	to have a meeting	tener una reunión	他们在开会。	They are having a meeting.	Están en una reunión.			举行会议	to hold a meeting	celebrar una reunión
开机	開機	kāijī	to turn on device	encender el dispositivo	请把电脑开机。	Please turn on the computer.	Enciende el ordenador, por favor.			打开电子设备的电源	to turn on the power of an electronic device	encender la energía de un dispositivo electrónico
开心	開心	kāixīn	happy	contento	今天我很开心。	I'm very happy today.	Hoy estoy muy contento.			心情愉快	in a pleasant mood	de humor agradable
看来	看來	kànlái	it seems, it appears	al parecer	看来他不会来了。	It seems he won't come.	Al parecer, no va a venir.			根据观察进行推测	to speculate based on observation	especular basándose en la observación
可	可	kě	but	pero	房间不大，可很干净。	The room isn't big, but it's very clean.	La habitación no es grande, pero está muy limpia.			表示转折	indicates a turn/contrast	indica un contraste
渴	渴	kě	thirsty	sediento	我很渴，想喝水。	I'm very thirsty, I want to drink water.	Tengo mucha sed, quiero beber agua.			想喝水	wanting to drink water	con ganas de beber agua
可爱	可愛	kě'ài	lovely	adorable	这只小狗很可爱。	This puppy is very cute.	Este cachorro es muy adorable.			让人喜欢，讨人喜欢	likable, endearing	que agrada, que resulta simpático
可是	可是	kěshì	but	pero	我想去，可是没有时间。	I want to go, but I don't have time.	Quiero ir, pero no tengo tiempo.			表示转折关系	indicates a relationship of contrast	indica una relación de contraste
刻	刻	kè	quarter (time); to carve	cuarto (de hora); tallar	现在是三点一刻。	It's a quarter past three now.	Ahora son las tres y cuarto.			十五分钟；也指雕刻	fifteen minutes; also refers to carving	quince minutos; también se refiere a tallar
课本	課本	kèběn	textbook	libro de texto	请打开你的课本。	Please open your textbook.	Abre tu libro de texto, por favor.			教学用的书	a book used for teaching	libro usado para la enseñanza
客人	客人	kèrén	guest	invitado	家里来客人了。	A guest has come to the house.	Ha venido un invitado a casa.			被邀请或来访的人	a person who is invited or visits	persona invitada o que visita
课文	課文	kèwén	text (in a lesson)	texto (de una lección)	请朗读第一课的课文。	Please read aloud the text of lesson one.	Lee en voz alta el texto de la lección uno.			课本里的文章	an article in a textbook	un artículo en un libro de texto
空调	空調	kōngtiáo	air conditioner	aire acondicionado	房间里的空调坏了。	The air conditioner in the room is broken.	El aire acondicionado de la habitación está roto.			调节室内温度的设备	a device that regulates indoor temperature	dispositivo que regula la temperatura interior
哭	哭	kū	to cry	llorar	孩子哭了。	The child cried.	El niño lloró.			因伤心而流泪出声	to shed tears and make sounds out of sadness	derramar lágrimas y hacer ruido por tristeza
筷子	筷子	kuàizi	chopsticks	palillos	你会用筷子吗？	Can you use chopsticks?	¿Sabes usar los palillos?			中国人用来吃饭的细棍	thin sticks Chinese people use to eat	palos finos que usan los chinos para comer
矿泉水	礦泉水	kuàngquánshuǐ	mineral water	agua mineral	请给我一瓶矿泉水。	Please give me a bottle of mineral water.	Dame una botella de agua mineral, por favor.			从地下泉水中取得的饮用水	drinking water obtained from underground springs	agua potable obtenida de manantiales subterráneos
来自	來自	láizì	to come from	provenir de	他来自法国。	He comes from France.	Él proviene de Francia.			从某处而来	to come from somewhere	venir de algún lugar
蓝	藍	lán	blue	azul	今天天空很蓝。	The sky is very blue today.	Hoy el cielo está muy azul.			像晴天天空的颜色	a color like a clear sky	color como el del cielo despejado
老	老	lǎo	old, aged	viejo, anciano	我的爷爷已经很老了。	My grandfather is already very old.	Mi abuelo ya es muy anciano.			年纪大	advanced in age	de edad avanzada
老人	老人	lǎorén	elderly person	persona mayor	公园里有很多老人在锻炼。	Many elderly people are exercising in the park.	Hay muchas personas mayores haciendo ejercicio en el parque.			年纪大的人	a person of advanced age	persona de edad avanzada
离开	離開	líkāi	to leave	marcharse	他明天要离开北京。	He is leaving Beijing tomorrow.	Mañana se marcha de Pekín.			从某处或某人身边走开	to move away from a place or person	alejarse de un lugar o persona
礼物	禮物	lǐwù	gift	regalo	这是我送给你的礼物。	This is a gift I'm giving you.	Este es un regalo que te doy.			表示心意送给别人的东西	something given to someone to express one's feelings	algo que se da a alguien para expresar afecto
历史	歷史	lìshǐ	history	historia	我对中国历史很感兴趣。	I'm very interested in Chinese history.	Me interesa mucho la historia china.			过去发生的事情	events that happened in the past	sucesos que ocurrieron en el pasado
脸	臉	liǎn	face	cara	她的脸红了。	Her face turned red.	Se le puso la cara roja.			头的前部	the front part of the head	la parte frontal de la cabeza
练	練	liàn	to practice	practicar	他每天练太极拳。	He practices tai chi every day.	Practica tai chi todos los días.			反复学习以求熟练	to study repeatedly to become skilled	estudiar repetidamente para dominar algo
练习	練習	liànxí	to practice; exercise	practicar; ejercicio	请做完这些练习。	Please finish these exercises.	Termina estos ejercicios, por favor.			反复学习，或指用来学习的题目	to study repeatedly, or a problem used for study	estudiar repetidamente, o un problema usado para estudiar
凉快	涼快	liángkuai	cool	fresco	晚上很凉快。	It's cool in the evening.	Por la noche hace fresco.			微冷，令人舒适	slightly cold, pleasant	ligeramente frío, agradable
辆	輛	liàng	measure word for vehicles	(clasificador de vehículos)	路上有很多辆车。	There are many cars on the road.	Hay muchos coches en la carretera.			用于车辆的量词	a measure word for vehicles	clasificador para vehículos
聊	聊	liáo	to chat	charlar	我们聊了很久。	We chatted for a long time.	Charlamos durante mucho tiempo.			随意地交谈	to converse casually	conversar de manera informal
聊天儿	聊天兒	liáotiānr	to chat	charlar	朋友们喜欢一起聊天儿。	Friends like to chat together.	A los amigos les gusta charlar juntos.			随便谈话	to talk casually	hablar de manera informal
了解	瞭解	liǎojiě	to understand	entender, conocer	我不太了解这件事。	I don't quite understand this matter.	No entiendo muy bien este asunto.			清楚地知道	to know clearly	saber con claridad
邻居	鄰居	línjū	neighbor	vecino	我的邻居很友好。	My neighbor is very friendly.	Mi vecino es muy amable.			住在附近的人	a person who lives nearby	persona que vive cerca
留学	留學	liúxué	to study abroad	estudiar en el extranjero	他打算去英国留学。	He plans to study abroad in the UK.	Planea ir a estudiar al Reino Unido.			到外国学习	to study in a foreign country	estudiar en un país extranjero
留学生	留學生	liúxuéshēng	overseas student	estudiante extranjero	学校里有很多留学生。	There are many overseas students at the school.	Hay muchos estudiantes extranjeros en la escuela.			在外国学习的学生	a student studying in a foreign country	estudiante que estudia en un país extranjero
楼梯	樓梯	lóutī	stairs	escaleras	请走楼梯上楼。	Please take the stairs upstairs.	Sube por las escaleras, por favor.			供人上下楼用的阶梯	steps used for going up and down floors	escalones que se usan para subir y bajar pisos
路边	路邊	lùbiān	roadside	borde de la carretera	车停在路边。	The car is parked at the roadside.	El coche está aparcado al borde de la carretera.			道路的两旁	the sides of a road	los lados de una carretera
路口	路口	lùkǒu	intersection	cruce	在下一个路口右转。	Turn right at the next intersection.	Gira a la derecha en el siguiente cruce.			道路交叉的地方	a place where roads cross	lugar donde se cruzan las carreteras
马	馬	mǎ	horse	caballo	他喜欢骑马。	He likes riding horses.	Le gusta montar a caballo.			一种可以骑乘的动物	an animal that can be ridden	animal que se puede montar
马路	馬路	mǎlù	road	carretera, calzada	过马路要小心。	Be careful when crossing the road.	Ten cuidado al cruzar la calle.			供车辆行驶的宽阔道路	a wide road for vehicles	carretera ancha para vehículos
马上	馬上	mǎshàng	immediately	enseguida	我马上就到。	I'll be there right away.	Llego enseguida.			立刻，很快	at once, quickly	de inmediato, rápidamente
满意	滿意	mǎnyì	satisfied	satisfecho	我对这个结果很满意。	I'm very satisfied with this result.	Estoy muy satisfecho con este resultado.			感到符合自己的心意	feeling that something matches one's wishes	sentir que algo coincide con lo que uno desea
毛	毛	máo	measure word for money; hair	(unidad monetaria); pelo	这个东西两块五毛钱。	This thing costs two yuan and five mao.	Esto cuesta dos yuanes con cincuenta céntimos.			货币单位，十分之一元；也指毛发	a monetary unit, one-tenth of a yuan; also refers to hair	unidad monetaria, una décima parte de un yuan; también se refiere al pelo
米	米	mǐ	meter	metro	这条路有五百米长。	This road is five hundred meters long.	Esta carretera mide quinientos metros.			长度单位	a unit of length	unidad de longitud
面前	面前	miànqián	in front of	delante de	老师站在学生面前。	The teacher stands in front of the students.	El profesor está de pie delante de los estudiantes.			眼前，跟前	right before one's eyes, nearby	justo delante de los ojos, cerca
明白	明白	míngbai	to understand; clear	entender; claro	我明白你的意思了。	I understand what you mean.	Entiendo lo que quieres decir.			知道，理解	to know, to comprehend	saber, comprender
名单	名單	míngdān	name list	lista de nombres	请检查一下这份名单。	Please check this name list.	Revisa esta lista de nombres, por favor.			记录人名的单子	a list recording people's names	lista que registra nombres de personas
名人	名人	míngrén	famous person	persona famosa	他是一个有名的名人。	He is a well-known famous person.	Es una persona muy famosa.			有名望的人	a person with a reputation	persona con renombre
南	南	nán	south	sur	大雁冬天飞往南方。	Wild geese fly south in winter.	Los gansos salvajes vuelan hacia el sur en invierno.			四个方向之一，与北相对	one of the four directions, opposite of north	una de las cuatro direcciones, opuesta al norte
难	難	nán	difficult	difícil	这道题太难了。	This question is too difficult.	Esta pregunta es demasiado difícil.			不容易做到	not easy to accomplish	no fácil de lograr
南方	南方	nánfāng	south	sur (región)	南方的冬天不太冷。	Winter in the south is not too cold.	El invierno en el sur no es muy frío.			南边的地区	the southern region	la región del sur
难过	難過	nánguò	sad	triste	听到这个消息我很难过。	I'm very sad to hear this news.	Me pone muy triste oír esta noticia.			心里不痛快，伤心	feeling unhappy inside, sorrowful	sentirse infeliz por dentro, apenado
难看	難看	nánkàn	ugly	feo	这件衣服有点儿难看。	This piece of clothing is a bit ugly.	Esta ropa es un poco fea.			不好看	not good-looking	que no es bonito
男人	男人	nánrén	man	hombre	那个男人是我爸爸。	That man is my father.	Ese hombre es mi padre.			成年男性	an adult male	varón adulto
男生	男生	nánshēng	boy student	estudiante varón	班里的男生比较多。	There are more boy students in the class.	Hay más chicos en la clase.			男性学生	a male student	estudiante de sexo masculino
难题	難題	nántí	difficult problem	problema difícil	这是一个难题。	This is a difficult problem.	Este es un problema difícil.			不容易解决的问题	a problem not easy to solve	problema que no es fácil de resolver
难听	難聽	nántīng	unpleasant to hear	desagradable de oír	这首歌很难听。	This song is unpleasant to listen to.	Esta canción suena mal.			声音不好听	a sound that is not pleasant	sonido que no es agradable
年级	年級	niánjí	grade	curso, grado	我弟弟上三年级。	My younger brother is in third grade.	Mi hermano pequeño está en tercer curso.			学校按学习年限划分的班次	a class division based on years of schooling	división de clases según los años de escolaridad
年轻	年輕	niánqīng	young	joven	她看起来很年轻。	She looks very young.	Se ve muy joven.			年纪不大	not advanced in age	de edad no avanzada
牛	牛	niú	cow	vaca	农场里有很多牛。	There are many cows on the farm.	Hay muchas vacas en la granja.			一种常见的家畜	a common domestic animal	un animal doméstico común
努力	努力	nǔlì	to work hard	esforzarse	他学习很努力。	He studies very hard.	Estudia con mucho esfuerzo.			尽最大的力量去做	to do something with the greatest effort	hacer algo con el mayor esfuerzo
女人	女人	nǚrén	woman	mujer	那个女人是医生。	That woman is a doctor.	Esa mujer es médica.			成年女性	an adult female	mujer adulta
女生	女生	nǚshēng	girl student	estudiante mujer	女生们坐在前面。	The girl students sit in the front.	Las chicas se sientan delante.			女性学生	a female student	estudiante de sexo femenino
爬	爬	pá	to climb	trepar, escalar	我们周末去爬山。	We're going hiking this weekend.	Este fin de semana vamos a hacer senderismo.			用手脚支撑身体向上移动	to move upward supporting the body with hands and feet	moverse hacia arriba apoyando el cuerpo con manos y pies
怕	怕	pà	to fear	temer	我怕黑。	I'm afraid of the dark.	Le tengo miedo a la oscuridad.			心里害怕	to feel afraid inside	sentir miedo por dentro
拍照	拍照	pāizhào	to take a photo	hacer una foto	我们在这里拍照吧。	Let's take a photo here.	Hagamos una foto aquí.			用相机照相	to take a picture with a camera	hacer una foto con una cámara
盘子	盤子	pánzi	plate	plato	请把菜放在盘子里。	Please put the food on the plate.	Pon la comida en el plato, por favor.			盛放食物的扁平器皿	a flat container for holding food	recipiente plano para contener alimentos
胖	胖	pàng	fat	gordo	他最近胖了。	He's gotten fat recently.	Últimamente ha engordado.			身体脂肪多	having a lot of body fat	tener mucha grasa corporal
啤酒	啤酒	píjiǔ	beer	cerveza	他喜欢喝啤酒。	He likes drinking beer.	Le gusta beber cerveza.			一种用麦芽酿造的酒	an alcoholic drink brewed from malt	bebida alcohólica elaborada con malta
平时	平時	píngshí	usually	normalmente	我平时七点起床。	I usually get up at seven.	Normalmente me levanto a las siete.			平常的时候	ordinary times	tiempos ordinarios
瓶子	瓶子	píngzi	bottle	botella	这个瓶子是空的。	This bottle is empty.	Esta botella está vacía.			用来装液体的容器	a container used to hold liquid	recipiente usado para contener líquido
骑	騎	qí	to ride	montar	他每天骑自行车上班。	He rides a bicycle to work every day.	Va en bicicleta al trabajo todos los días.			跨坐在动物或车上	to sit astride an animal or vehicle	sentarse a horcajadas sobre un animal o vehículo
奇怪	奇怪	qíguài	strange	extraño	这件事很奇怪。	This matter is very strange.	Este asunto es muy extraño.			不同寻常，令人费解	unusual, puzzling	inusual, desconcertante
其实	其實	qíshí	actually	en realidad	他其实很善良。	He is actually very kind.	En realidad, es muy bondadoso.			表示所说的是实际情况	indicates what is said is the actual situation	indica que lo dicho es la situación real
